;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
885.8s : 597.456m/z;0;40835;50687;41216;79961;29366;41223;0;0;0;0;0;0;0;69877;0;102033;48080;39993;47120;79493;36415;57820;0;0;65684;80142;85001;0;54976;0;0;38723;75205;0;0;31098;54545;67196;0;0;0;124980;40720;0;50044;0;0;0;56885;40992;68626;63092;51767;0;35656;55979;47412;31458;44988;62145;87264;36094;45151;0;0;0;0;34803;0;48461;0;0;42704;56029;52590;62773;96806;0;0;42843;46861;62559;0;76186;0;0;77186;0;0;77715;0;93113;0;0;54084
884.9s : 641.482m/z;0;35349;46176;36974;77504;0;37422;0;0;0;0;0;0;0;62949;0;89153;40718;30711;38849;67894;33583;46187;0;0;57963;73055;79620;0;45319;0;0;32883;61774;0;0;0;48767;63298;0;0;0;104192;38692;0;44497;0;0;0;48629;35731;60769;55927;51402;0;30473;47301;38638;0;37365;56743;72469;27481;39118;0;0;0;0;30589;0;42335;0;0;35758;46269;42194;57094;88971;0;0;36857;39512;53137;0;65044;0;0;66859;0;0;68659;0;81477;0;0;48506
922.9s : 465.378m/z;0;0;70283;68204;0;0;0;0;55800;0;0;0;0;0;0;0;190372;70953;78446;87336;162624;0;104936;0;0;85338;0;45731;0;82266;0;0;60828;171087;0;80772;71112;64506;50656;67538;0;46451;303170;0;43435;66757;0;0;0;91812;66961;64773;89416;0;0;57197;130723;64919;94352;78381;50800;129389;107869;74121;0;0;0;0;0;0;112554;0;0;70042;57334;99210;55952;101351;83848;0;76471;57846;84077;0;99820;0;0;62324;0;0;0;0;103582;0;0;88078
565.6s : 343.295m/z;0;0;0;107798;211671;0;313050;95320;0;0;202655;180705;295349;151094;106893;89849;159324;137570;0;0;164200;0;369606;0;0;131007;213768;0;160380;166091;398162;0;200528;107480;126199;0;417640;167628;0;0;247219;0;193095;0;0;110822;0;0;116527;179293;0;0;0;123855;246062;164969;0;161551;0;0;150444;155621;0;132471;132064;0;0;201782;154073;183377;151352;0;316808;139309;172229;0;0;282111;193042;149831;0;129946;272254;149889;192776;0;0;150001;0;178126;120163;137026;145230;0;156062;0
795.9s : 445.279m/z;0;0;0;0;0;0;0;0;0;0;179861;197541;144854;97363;89614;73336;116213;107713;56051;60249;65492;58017;89938;0;0;52844;101831;61096;149336;75972;146739;0;88908;45513;96452;0;73711;0;79748;90982;144097;0;78373;100075;0;59418;0;0;114931;62473;50841;63589;60013;85068;106835;144774;70645;105311;56153;0;142753;65606;46133;0;123685;60976;58032;145117;77713;99464;53737;49624;188027;61329;58837;47259;90578;68300;209789;122618;59871;65822;79861;103115;75409;0;0;73881;62923;75894;0;134533;76533;0;53208;0
811.7s : 459.295m/z;0;0;0;0;0;0;0;0;0;0;253671;268990;213298;149188;130294;111865;186031;155809;62237;78871;88235;104688;106438;0;0;71698;146778;105560;223366;99989;209023;0;110876;0;138341;0;107426;0;95990;120345;170244;0;90488;110958;0;73307;0;0;175319;94427;69359;81180;74581;119954;141850;225288;88337;135839;73257;0;176276;80344;0;0;164140;0;0;192530;92360;109403;64389;65053;259819;0;77658;0;113073;88072;350410;152338;78043;0;95270;160465;101502;0;0;96836;0;106567;0;196936;94061;0;0;0
688.4s : 281.172m/z;0;0;0;0;0;0;0;0;0;0;122377;131164;119864;104139;108354;101235;112601;99351;0;89736;0;0;102030;0;0;0;132783;90455;164118;92211;154268;82767;102954;0;143201;106932;157925;92946;114204;97631;150008;89330;116315;131984;108683;105795;0;0;122373;97659;94854;98708;94032;106748;135305;124469;108903;103880;97082;88969;127714;113332;0;97905;143723;110716;107144;155812;108804;133195;106489;101261;136470;90517;119149;85481;111786;96481;123771;109655;94980;92436;105006;123371;97224;0;0;89416;0;101051;0;119412;96826;0;0;0
898.9s : 746.561m/z;0;34791;42817;35838;54512;0;33064;0;0;0;0;0;0;0;49087;0;61518;32292;0;30789;51469;0;36291;0;0;48895;59677;67776;0;39179;0;0;0;46001;0;0;0;36428;59286;0;0;0;87582;32337;0;42924;0;0;0;39776;0;53477;45408;51464;0;0;44336;33551;0;33513;48333;57961;0;0;0;0;0;0;28354;0;37743;0;0;33130;37566;33531;51596;71579;0;0;36900;0;41364;0;49969;0;0;60137;0;0;54308;0;57526;0;0;42869
916.0s : 729.534m/z;0;53445;72865;57978;0;0;50530;0;0;0;0;0;0;0;47061;0;114245;53283;0;49123;82848;0;62217;0;0;68507;0;51292;0;66020;0;0;0;76474;0;35857;37529;53211;63836;0;0;0;185081;0;0;62449;0;0;0;57268;42248;87595;62769;47306;0;0;78870;48534;0;46726;67980;99014;0;0;0;0;0;0;41337;35672;59880;0;0;51541;51754;48607;47503;110644;0;0;59826;39588;56321;0;79023;0;0;52047;0;0;0;0;61526;0;0;70676
922.3s : 531.386m/z;0;0;61400;59567;0;0;0;0;45745;0;0;0;0;0;0;0;106616;55492;55146;65716;94892;0;72574;0;0;70702;0;0;0;67835;0;0;45850;102906;0;59380;64315;56013;41520;46495;0;0;134877;0;0;54045;0;0;0;68900;51560;56588;70505;0;0;45830;86720;54322;64358;58506;45842;87423;75679;57775;0;0;0;0;0;0;78231;0;0;56948;63096;73709;47240;76370;0;0;61467;48681;69932;0;76276;0;0;47825;0;0;0;0;73760;0;0;65605
485.4s : 158.154m/z;69930;61543;0;0;104539;57432;59099;51649;0;0;0;61703;72651;72304;0;72100;93244;0;0;0;71881;70904;74339;101073;94117;0;66583;0;78463;62918;87504;0;0;0;0;70271;0;0;0;0;72709;63814;0;71995;0;75083;0;0;0;72334;0;64360;0;0;66095;72092;93401;95453;0;72658;0;86327;70922;0;100763;0;71240;86592;65211;87295;0;67869;64866;69773;79877;0;68482;0;0;0;73701;0;0;0;76259;61085;68309;0;67892;0;0;83258;0;121369;68170;73774
434.3s : 387.201m/z;0;0;0;0;0;0;0;0;0;0;295297;309412;247913;95991;62095;91490;97309;62146;69619;0;0;0;280839;0;0;0;135950;77109;375976;90729;345225;0;236750;0;540929;147930;448225;199496;425266;368828;403032;114575;497455;240391;346856;230895;0;0;88576;0;0;51424;105511;211662;257846;313380;85225;213843;0;0;342382;104881;0;91891;332707;115607;99013;365689;70521;296870;123788;0;377107;75952;97969;0;76654;230662;310592;76318;0;0;240884;155926;202665;0;0;0;64708;143799;0;310577;53601;0;377657;0
796.0s : 467.261m/z;0;0;0;0;0;0;0;0;0;0;105080;108448;89724;71250;67711;57384;83167;82547;0;48222;53835;48058;70458;0;0;0;87504;52303;106035;58277;107130;0;71110;0;66095;0;61686;0;58943;63373;100404;0;61173;73095;0;48597;0;0;78338;53038;0;50724;48446;62831;78350;95808;56845;79324;47630;0;87841;53433;0;0;80840;49427;0;97992;64446;66941;0;0;111114;51500;53153;0;66854;57499;113948;76332;45586;52750;62365;75865;61930;0;0;59578;0;54418;0;82660;63449;0;0;0
470.5s : 445.243m/z;0;0;0;0;0;0;0;0;0;0;618696;615578;406218;215416;94876;159152;312114;147097;0;68040;62964;0;164299;0;0;0;368053;151186;427724;95120;489368;0;287145;0;189034;0;79985;0;188037;214240;446005;0;76324;313138;0;0;0;0;195713;159729;49685;156246;61268;231707;417152;363017;55451;264255;119996;0;316166;72895;0;0;363817;77679;0;432005;157220;325749;0;0;472640;159429;206706;0;180260;156931;465133;257855;64003;62179;52228;253344;87720;0;0;149568;64660;306173;0;251680;52171;0;85579;0
294.9s : 259.154m/z;0;0;0;0;0;0;0;0;0;0;601896;596685;493368;162906;174893;178340;341082;143471;0;0;129663;0;157076;0;0;0;421134;136696;573276;149798;624614;0;191068;0;366857;0;481978;0;308735;322070;610543;0;182964;453537;0;0;0;0;337446;147601;0;152532;127639;357055;470676;441222;141395;332338;0;0;489288;160213;105019;0;504932;164779;121426;600645;154261;437973;128173;0;672406;144006;168866;0;316718;160156;531898;302889;0;0;149616;417221;149487;0;0;141652;141649;477340;0;428693;134011;0;305564;0
884.0s : 685.508m/z;0;32353;38701;29723;61915;0;31920;0;0;0;0;0;0;0;51942;0;69271;31924;0;30221;50499;26176;35235;0;0;45988;65612;70172;0;35887;0;0;0;47266;0;0;0;38243;54486;0;0;0;88701;34165;0;38055;0;0;0;36914;27196;52926;43224;46570;0;0;35916;33502;0;31391;48095;60873;0;32708;0;0;0;0;0;0;35148;0;0;28953;36556;33376;47647;76014;0;0;31528;30690;41892;0;53700;0;0;56897;0;0;57594;0;65906;0;0;39330
915.8s : 751.516m/z;0;44711;50432;50395;0;0;42199;0;0;0;0;0;0;0;35830;0;61705;40917;0;38424;51209;0;44875;0;0;48879;34205;39530;0;46580;0;0;0;49831;0;0;37560;38054;46987;0;0;0;79896;0;0;48711;0;0;0;46512;0;55274;43950;37841;0;0;51009;39079;0;0;47236;60460;0;0;0;0;0;0;36139;33628;0;0;0;41020;48906;39465;36930;67128;0;0;45922;0;39742;0;52354;0;0;41080;0;0;0;0;43516;0;0;50219
904.0s : 526.430m/z;0;40343;54149;49923;58605;0;0;0;0;0;0;0;0;0;56667;0;0;0;61158;58322;109066;0;75732;0;0;73149;54253;65098;0;66540;0;0;47623;106373;0;49490;0;62243;56295;45755;0;0;0;0;0;57015;0;0;0;72139;0;60977;78190;45683;0;0;0;0;57391;60240;58320;96649;68170;0;0;0;0;0;0;0;0;0;0;56705;59885;0;56301;0;0;0;56483;59026;69897;0;0;0;0;74647;0;0;72871;0;94976;0;0;66221
923.1s : 487.360m/z;0;0;56880;57402;0;0;0;0;47232;0;0;0;0;0;0;0;115505;55892;65860;70519;112749;0;81530;0;0;70569;0;0;0;60632;0;0;50200;115706;0;67314;67817;51686;0;53659;0;0;150502;0;0;53769;0;0;0;72214;56869;47652;70254;0;0;0;100195;52775;77055;64460;0;87670;81959;60599;0;0;0;0;0;0;92378;0;0;57656;55312;82681;43774;75731;0;0;61687;0;67492;0;74978;0;0;46548;0;0;0;0;76847;0;0;68802
346.3s : 184.115m/z;92282;0;0;0;0;0;0;0;0;127643;125190;0;0;0;0;0;196116;0;0;105331;105181;0;104798;0;107916;0;107873;159488;0;0;0;122944;105713;0;162861;99437;99247;0;0;0;0;0;0;0;117214;0;0;0;171415;180926;99556;0;0;0;0;0;130809;106923;114841;0;0;0;0;0;0;135420;0;173853;98447;0;116604;0;182404;126636;100268;91474;141067;177582;0;0;108941;0;141929;0;115273;0;104868;0;144005;144335;150900;0;219220;0;0;0
961.0s : 337.234m/z;0;219411;0;0;222679;0;0;0;170926;161687;0;0;167808;116888;73626;0;0;0;0;88880;0;0;0;91385;106213;117000;81130;75230;192893;100528;0;258997;0;174571;121512;0;0;147753;0;0;0;173962;144985;0;0;0;0;83166;0;0;0;0;0;0;0;0;266643;0;178291;0;0;161680;88490;0;0;0;0;0;0;145707;184939;80771;0;164853;0;130854;0;103111;0;65759;113450;123975;79582;0;0;90076;77976;114573;127972;0;87265;0;0;132251;0;0
887.3s : 465.378m/z;0;0;41738;0;78864;0;0;0;0;0;0;68641;0;0;52865;0;111192;53685;56202;49302;101266;0;62983;0;0;64433;53453;51343;0;65870;0;0;49798;101544;0;0;0;55374;45707;42322;0;0;142237;0;0;44102;0;0;0;58127;43015;49644;64285;0;0;0;79564;45577;49367;48769;48984;77994;52103;45550;0;0;0;0;0;0;59556;0;0;43825;42602;61394;39108;71760;160019;0;49449;52375;58645;0;76110;0;0;59764;0;0;56160;0;83917;0;0;60079
796.1s : 462.305m/z;0;0;0;0;0;0;0;0;0;0;113016;116279;93749;76212;68722;55887;86743;78041;0;42053;47367;0;70693;0;0;0;69412;49304;86619;61991;87777;0;72360;0;70566;0;54009;0;58500;66516;85481;0;59109;64241;0;0;0;0;82736;49600;0;48911;0;64553;70214;86947;52208;77689;0;0;99649;0;0;0;76086;0;0;92051;64340;64785;0;0;106296;0;0;0;70566;57805;121331;83511;0;51234;59372;71752;54007;0;0;60016;0;49694;0;82935;58823;0;0;0
539.8s : 395.167m/z;0;0;0;0;0;0;0;0;0;0;89692;94832;84874;0;55852;62148;74236;56952;0;0;63088;0;0;0;0;0;95644;0;104308;57715;87368;0;65655;0;0;0;0;0;0;59137;74276;0;0;71307;0;0;0;0;59000;66739;56374;58016;60414;67434;81331;83764;57146;80529;0;0;67882;62129;0;0;85759;55622;0;81292;61946;76417;0;0;92668;61149;58840;0;62080;59480;90918;0;63043;0;0;63457;0;0;0;0;0;59416;0;55401;0;0;0;0
448.1s : 431.227m/z;0;0;0;0;0;0;0;0;0;0;349040;343132;274620;0;59668;63558;162399;57011;0;0;68584;0;0;0;0;0;215454;0;302422;65120;253851;0;159603;0;66314;0;0;0;80135;172000;271798;0;0;190024;0;0;0;0;62023;60309;0;65813;57071;185380;221289;242403;0;200154;0;0;272032;72386;0;0;275169;61165;0;251537;64549;206401;0;0;381446;65944;61663;0;76794;70616;325816;71258;60063;56797;0;164523;57615;0;0;57216;0;190141;0;80419;0;0;71092;0
923.6s : 438.378m/z;0;0;63370;61054;0;0;0;0;59559;0;0;0;0;0;0;0;129169;68398;78104;84916;130507;0;97689;0;0;78773;0;0;0;63802;0;0;60582;130175;0;78980;53324;56222;0;70870;0;0;162676;0;0;61918;0;0;0;83034;67045;0;80883;0;0;0;111024;63770;101185;75517;0;101859;99819;64737;0;0;0;0;0;0;103555;0;0;67771;0;91436;0;82174;0;0;70000;52877;70741;0;81828;0;0;58375;0;0;0;0;85719;0;0;70826
233.2s : 172.133m/z;123985;88735;0;0;70154;70835;0;126351;0;0;87520;73694;95058;0;63806;121064;245207;0;0;0;0;0;0;130932;0;113273;0;0;152704;69206;72908;0;119170;72313;0;0;78061;0;111336;73428;116407;85747;0;137531;0;0;0;0;0;0;0;125352;0;138635;60486;97113;0;0;0;0;125147;0;0;75883;168915;98120;67370;119026;54205;118979;0;0;99429;0;0;0;0;0;148561;118894;0;129013;0;89997;63064;57853;0;102520;0;0;0;0;0;0;0;102341
886.1s : 619.438m/z;0;0;34050;0;61560;0;0;0;0;0;0;0;0;0;40379;0;52637;32134;0;30891;45051;0;35183;0;0;41140;61204;50068;0;36056;0;0;0;44771;0;0;0;34977;40986;0;0;0;56929;0;0;31889;0;0;0;37376;0;39383;41389;32798;0;0;36409;30854;0;0;37449;48260;0;31249;0;0;0;0;0;0;32756;0;0;0;41925;32950;38036;52718;0;0;0;31542;38244;0;45026;0;0;42952;0;0;47889;0;53235;0;0;35418
495.3s : 387.201m/z;0;0;0;0;0;0;0;0;0;0;186571;153282;136639;161739;143648;126187;220429;89124;0;70742;0;0;0;0;0;133278;170477;90354;138383;71910;203220;52060;0;0;114960;66293;201910;0;0;0;192066;0;0;195680;0;65139;0;0;184687;66027;0;50456;0;103065;157912;165333;190842;0;64476;0;101737;0;0;0;101448;98666;157026;214267;0;194911;0;0;102335;0;104449;65717;177294;0;88944;206018;0;0;69005;175272;0;0;0;66982;0;184149;0;219889;154518;0;0;0
524.3s : 401.217m/z;0;0;0;0;0;0;0;0;0;0;180914;284142;279728;355349;281827;229470;228538;175686;0;73347;0;54143;0;0;0;57102;63093;184563;262989;57420;369550;67931;0;0;236284;71292;418274;0;0;0;182655;0;0;186825;0;66790;0;0;386814;0;0;0;0;181994;290104;178127;182409;0;65079;47559;171297;0;0;0;187632;162524;164212;363695;0;182517;0;0;181260;0;71411;54889;163021;0;185553;196377;0;0;74203;341262;60599;0;0;54840;0;185053;0;512358;72504;0;0;0
1005.1s : 109.101m/z;0;55433;0;62556;66531;0;55384;59846;0;0;0;50662;0;0;0;0;0;0;0;0;0;66229;68132;0;0;0;65308;63553;63915;56390;55384;0;59858;0;69577;0;0;0;0;56741;0;0;0;0;0;0;45223;0;59280;0;0;60072;0;58941;57599;49643;0;0;0;0;60892;0;58011;0;63710;59904;66645;52493;59183;59092;0;0;0;0;57058;0;63733;0;0;66779;0;0;0;0;51043;0;49963;0;62179;0;0;0;0;0;0;0
923.5s : 443.334m/z;0;0;54201;52510;0;0;0;0;0;0;0;0;0;0;0;0;109016;60951;71017;76017;115864;0;82021;0;0;67548;0;0;0;54015;0;0;54150;110774;0;71453;61458;49913;0;56741;0;0;131790;0;0;54193;0;0;0;70766;57327;0;69156;0;0;0;98772;52731;86669;63871;0;87184;87047;51307;0;0;0;0;0;0;89563;0;0;60167;45769;83230;0;68910;0;0;58977;0;64107;0;72841;0;0;0;0;0;0;0;72024;0;0;64360
954.9s : 679.416m/z;87459;0;0;93057;0;79229;77456;74915;0;0;0;0;0;76064;0;0;0;0;0;73113;0;0;0;0;0;0;89007;0;91110;0;83735;0;0;0;76887;84365;81517;0;0;65172;71761;0;0;72349;78238;75919;0;0;76814;0;78750;0;0;0;0;0;0;0;0;81607;66743;0;0;78677;0;66205;77631;70251;0;0;0;71567;57223;0;95392;0;74604;0;0;70947;0;0;0;68257;0;0;0;72092;70290;58974;0;66493;0;0;0;76962
921.3s : 570.456m/z;0;0;217605;0;78635;69421;153506;92551;0;0;59939;0;77472;0;0;0;0;0;169393;214108;299510;133425;0;0;112897;0;80960;167191;75629;221686;0;0;0;319432;0;205171;163279;0;0;152096;62976;125451;404382;48162;0;0;0;0;0;0;189329;232665;0;137266;0;127620;0;0;0;0;195987;318554;0;0;0;0;0;0;0;0;262798;0;54761;0;0;238929;0;0;64818;0;217615;0;0;69260;0;0;129917;192577;0;92561;0;0;0;111690;74360;239211
408.0s : 373.185m/z;0;0;0;0;0;0;0;0;0;0;80480;212753;99949;0;0;0;0;0;105250;0;0;0;288316;0;0;0;69552;0;267820;0;242721;0;218336;0;383164;63349;259226;0;298703;267785;463314;85367;398744;263185;247887;108180;0;0;100715;0;0;0;91530;94928;195936;235880;0;66085;0;0;289655;0;0;0;265416;63425;83263;282789;63194;241795;184318;0;284288;0;0;0;88652;76929;86267;58583;0;0;217065;98761;102652;0;0;0;0;55435;0;200034;0;0;71755;0
801.4s : 149.060m/z;109863;125795;0;119724;0;142663;66250;71935;0;0;0;0;0;97749;80015;63590;0;76615;0;70816;0;91962;0;0;0;87323;0;0;87008;0;66176;68152;0;0;114562;142499;161257;0;0;0;0;61110;0;55031;0;75196;0;0;117744;0;0;0;0;0;59192;0;114273;0;0;90142;0;0;0;105705;0;63858;162533;78225;0;0;0;0;0;0;105113;67022;0;0;0;73909;0;0;0;95937;0;85286;0;0;87314;0;0;123727;84916;0;0;76487
883.0s : 729.535m/z;0;0;28192;0;46476;0;0;0;0;0;0;0;0;0;38843;0;46534;0;0;0;35830;0;23035;0;0;32575;50405;52147;0;24384;0;0;0;30124;0;0;0;25896;40838;0;0;0;60701;26889;0;29129;0;0;0;24285;0;37395;30260;35344;0;0;24913;0;0;0;34853;41033;0;0;0;0;0;0;0;0;0;0;0;0;25056;0;35669;53946;0;0;21450;0;29663;0;36667;0;0;42629;0;0;40668;0;47143;0;0;28542
